Full_Name,Date of Birth,Award Level,Expiration Date,Language,Level of Qualification,Other Information,Qualification_Name,School_Name,Specialization,Student Email,Student ID,Student Password,Study_Graduation Date,Study_Start,Study_End
John Doe,"Jan 11, 1989 7:00 PM",,"Dec 3, 2021 10:00 AM",English,Bachelors,None,Master of Business Administration,College of Example,,,,,"May 5, 2021 12:00 AM","Jan 11, 2020 7:00 PM","Jan 11, 2021 7:00 PM"
Dylan Bomstein,"Jul 26, 1995 12:00 AM",,"Dec 3, 2021 10:00 AM",English,Bachelors,None,Bachelors of Science in Business,Learning Institute,Finance & Marketing,dylanbomstein@gmail.com,,,"May 5, 2017 10:00 AM","Aug 5, 2013 12:00 AM","May 5, 2017 12:00 AM"
Jessica Travers,"Dec 31, 1990 12:00 AM",,"Dec 3, 2021 10:00 AM",English,Bachelors,None,Masters in Innovation,Learning Institute,,,,,"May 5, 2021 12:00 AM","Aug 5, 2013 12:00 AM","May 4, 2017 12:00 AM"
Dylan Bomstein,"Jul 26, 1995 12:00 AM",,"Dec 3, 2021 10:00 AM",English,Bachelors,None,Masters of Business Administration,Learning Institute,,dylanbomstein@gmail.com,,,"May 5, 2021 12:00 AM","Aug 7, 2017 12:00 AM","May 19, 2021 12:00 AM"
Dylan Bomstein,"Jul 26, 1995 12:00 AM",Honors,"Dec 3, 2021 10:00 AM",English,Bachelors,None,Bachelors of Science in Science,Learning Institute,Marketing & Finance,dylanbomstein@gmail.com,12315125,,"May 6, 2017 12:00 AM","Sep 12, 2013 12:00 AM","May 6, 2017 12:00 AM"
Dylan Bomstein,"Jul 26, 1995 12:00 AM",Honors,"Dec 3, 2021 10:00 AM",English,Masters,None,Bachelors of International Testing,Learning Institute,Business,dylanbomstein@gmail.com,123124125,,"May 5, 2021 12:00 AM","Sep 15, 2019 12:00 AM","Jun 5, 2021 12:00 AM"
John Cena,"Feb 9, 1980 12:00 AM",Honors,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelors of Science,Uni Muster,None,,123-5125-12,,"May 12, 2004 12:00 AM","Mar 12, 2000 12:00 AM","May 12, 2004 12:00 AM"
John Cena,"Feb 9, 1980 12:00 AM",Honors,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelors of Science,Uni Muster,None,,123-5125-12,,"May 12, 2004 12:00 AM","Mar 12, 2000 12:00 AM","May 12, 2004 12:00 AM"
John Cena,"Feb 9, 1980 12:00 AM",Honors,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelors of Science,Uni Muster,None,,123-5125-12,,"May 12, 2004 12:00 AM","Mar 12, 2000 12:00 AM","May 12, 2004 12:00 AM"
Lucy Stahl,"Mar 12, 1988 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Masters,Award for Growth Mindset,Master of Business Administration,College of Example,Business Analysis,demostudent@gmail.com,,,"Aug 1, 2001 12:00 AM","Sep 1, 2019 12:00 AM","Jul 1, 2020 12:00 AM"
Lucy Stahl,"Mar 12, 1988 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelor of Science,University of Beispiel,,demostudent@gmail.com,,,"Aug 15, 2020 12:00 AM","Aug 15, 2016 12:00 AM","Aug 10, 2019 12:00 AM"
Lucy Stahl,"Mar 12, 1988 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Bachelor of Engineering,University of Beispiel,,demostudent@gmail.com,,,"Aug 10, 2015 12:00 AM","Sep 13, 2012 12:00 AM","Jul 1, 2015 12:00 AM"
Lucy Stahl,"Mar 12, 1988 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Master of Engineering,Uni Muster,,demostudent@gmail.com,,,"May 5, 2021 12:00 AM","Sep 14, 2020 12:00 AM","Jul 21, 2021 12:00 AM"
Paul Smith,"Jul 30, 1995 12:00 AM",,"Dec 6, 2030 12:00 AM",English,Bachelors,None,Master of Science,University of Beispiel,,,,,"May 5, 2021 12:00 AM","Oct 1, 2020 12:00 AM","Jul 31, 2021 12:00 AM"
